nodeID,source,destination,source_call,destination_call
b8f92900f49fe6c,0,1,,nginx-web-server+/wrk2-api/post/compose
1e3220eb73124332,1,2,nginx-web-server+/wrk2-api/post/compose,nginx-web-server+compose_post_client
d69ad5e01662b47d,2,3,nginx-web-server+compose_post_client,compose-post-service+compose_post_server
d88015dc9ebf6193,3,4,compose-post-service+compose_post_server,compose-post-service+compose_text_client
6f02043806ff871c,3,5,compose-post-service+compose_post_server,compose-post-service+compose_unique_id_client
fea4c624717de953,3,10,compose-post-service+compose_post_server,compose-post-service+compose_creator_client
a694e3149399ebe0,3,11,compose-post-service+compose_post_server,compose-post-service+compose_media_client
75d84accb1ace651,3,19,compose-post-service+compose_post_server,compose-post-service+store_post_client
15dbf50b8a4723e7,3,22,compose-post-service+compose_post_server,compose-post-service+write_user_timeline_client
14598c146b392128,3,26,compose-post-service+compose_post_server,compose-post-service+write_home_timeline_client
b812432314f8a430,4,6,compose-post-service+compose_text_client,text-service+compose_text_server
34297b5b6b300b7b,5,7,compose-post-service+compose_unique_id_client,unique-id-service+compose_unique_id_server
705da686db6cc1b7,6,8,text-service+compose_text_server,text-service+compose_user_mentions_client
b1543f1c3f1bffd5,6,9,text-service+compose_text_server,text-service+compose_urls_client
c6a75ed7aacc8232,8,12,text-service+compose_user_mentions_client,user-mention-service+compose_user_mentions_server
49eaff4f71d4ed2e,9,15,text-service+compose_urls_client,url-shorten-service+compose_urls_server
e4b10132eb8349c5,10,14,compose-post-service+compose_creator_client,user-service+compose_creator_server
fd757bfd82fd26b6,11,16,compose-post-service+compose_media_client,media-service+compose_media_server
5c8ac94261f10566,12,13,user-mention-service+compose_user_mentions_server,user-mention-service+compose_user_mentions_memcached_get_client
23b63e4023554db1,12,18,user-mention-service+compose_user_mentions_server,user-mention-service+compose_user_mentions_mongo_find_client
c383d5c2cf7fda52,15,17,url-shorten-service+compose_urls_server,url-shorten-service+url_mongo_insert_client
3c903a341c69de8,19,20,compose-post-service+store_post_client,post-storage-service+store_post_server
581e9216713cc136,20,21,post-storage-service+store_post_server,post-storage-service+post_storage_mongo_insert_client
7e818eaf671fc27f,22,23,compose-post-service+write_user_timeline_client,user-timeline-service+write_user_timeline_server
d4275f92008a154c,23,24,user-timeline-service+write_user_timeline_server,user-timeline-service+write_user_timeline_mongo_insert_client
1baa36829b5639aa,23,25,user-timeline-service+write_user_timeline_server,user-timeline-service+write_user_timeline_redis_update_client
c931c60764820f61,26,27,compose-post-service+write_home_timeline_client,home-timeline-service+write_home_timeline_server
745e4d6795993cd5,27,28,home-timeline-service+write_home_timeline_server,home-timeline-service+get_followers_client
80c7d459e5c9ee52,27,31,home-timeline-service+write_home_timeline_server,home-timeline-service+write_home_timeline_redis_update_client
c5af9f6b90293789,28,29,home-timeline-service+get_followers_client,social-graph-service+get_followers_server
a594bfd26e92f36,29,30,social-graph-service+get_followers_server,social-graph-service+social_graph_redis_get_client
9508e386945aa9c1,1,1,nginx-web-server+/wrk2-api/post/compose,nginx-web-server+/wrk2-api/post/compose
86d3fb7cfbc9fea,0,32,,nginx-web-server+/wrk2-api/user/register
bd58bd6a9e1f326f,32,33,nginx-web-server+/wrk2-api/user/register,nginx-web-server+register_client
6d7fdac54230b20e,33,34,nginx-web-server+register_client,user-service+register_user_withid_server
31f9d7ac5bd5234c,32,32,nginx-web-server+/wrk2-api/user/register,nginx-web-server+/wrk2-api/user/register
a800eaca5ea5016,0,35,,nginx-web-server+/api/user/login
e3df5c3b0ac0b0b1,35,36,nginx-web-server+/api/user/login,nginx-web-server+Login
b09ff29297cdf8b5,36,37,nginx-web-server+Login,user-service+login_server
bba8d932665a79b4,37,38,user-service+login_server,user-service+user_mmc_get_client
656c29aa9bd54a9d,37,39,user-service+login_server,user-service+user_mongo_find_client
19d685122310e529,35,35,nginx-web-server+/api/user/login,nginx-web-server+/api/user/login
35575ea22914a953,0,37,,user-service+login_server
