traceID,spanID,process.serviceName,operationName,startTime,startTimeMillis,duration,tags.0.type,tags.0.key,tags.0.value,tags.1.type,tags.1.key,tags.1.value,tags.2.type,tags.2.key,tags.2.value,tags.3.type,tags.3.key,tags.3.value,tags.4.type,tags.4.key,tags.4.value,tags.5.type,tags.5.key,tags.5.value,tags.6.type,tags.6.key,tags.6.value,tags.7.type,tags.7.key,tags.7.value,tags.8.type,tags.8.key,tags.8.value,tags.9.type,tags.9.key,tags.9.value,references.0.refType,references.0.spanID,references.0.traceID,tags.10.type,tags.10.key,tags.10.value,timeStamp
4943622728650fea,4943622728650fea,nginx-web-server,/wrk2-api/post/compose,1635326802116000,1635326802116,57300,string,sampler.type,const,bool,sampler.param,true,int64,http.status_code,200,string,http.status_line,,string,component,nginx,string,nginx.worker_pid,11,string,peer.address,172.21.0.1:55178,string,http.method,POST,string,http.url,http://localhost:8080/wrk2-api/post/compose,string,http.host,localhost:8080,,,,,,,2021-10-27 09:26:42.116000
4943622728650fea,22f2ad4316167b0a,nginx-web-server,/wrk2-api/post/compose,1635326802116394,1635326802116,56906,string,component,nginx,string,nginx.worker_pid,11,string,peer.address,172.21.0.1:55178,string,http.method,POST,string,http.url,http://localhost:8080/wrk2-api/post/compose,string,http.host,localhost:8080,int64,http.status_code,200,string,http.status_line,,,,,,,,CHILD_OF,4943622728650fea,4943622728650fea,,,,2021-10-27 09:26:42.116394
4943622728650fea,1674cdfa4b393756,nginx-web-server,ComposePost,1635326802117700,1635326802117,55037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHILD_OF,22f2ad4316167b0a,4943622728650fea,,,,2021-10-27 09:26:42.117700
4943622728650fea,f54badacecb915f6,media-service,UploadMedia,1635326802120081,1635326802120,32279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHILD_OF,1674cdfa4b393756,4943622728650fea,,,,2021-10-27 09:26:42.120081
4943622728650fea,1459b3b889c44b91,user-service,UploadUserWithUserId,1635326802120117,1635326802120,32210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHILD_OF,1674cdfa4b393756,4943622728650fea,,,,2021-10-27 09:26:42.120117
4943622728650fea,ce62bb5a44250501,unique-id-service,UploadUniqueId,1635326802120310,1635326802120,31128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHILD_OF,1674cdfa4b393756,4943622728650fea,,,,2021-10-27 09:26:42.120310
4943622728650fea,d63eab044df64f01,text-service,UploadText,1635326802120909,1635326802120,51517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHILD_OF,1674cdfa4b393756,4943622728650fea,,,,2021-10-27 09:26:42.120909
4943622728650fea,c9cf670372bd5b6e,user-mention-service,UploadUserMentions,1635326802125045,1635326802125,26913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHILD_OF,d63eab044df64f01,4943622728650fea,,,,2021-10-27 09:26:42.125045
4943622728650fea,8f20977eafebfaf0,url-shorten-service,UploadUrls,1635326802125045,1635326802125,22087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHILD_OF,d63eab044df64f01,4943622728650fea,,,,2021-10-27 09:26:42.125045
4943622728650fea,a4155eaba1ae19e,compose-post-service,UploadUniqueId,1635326802130542,1635326802130,18602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHILD_OF,ce62bb5a44250501,4943622728650fea,,,,2021-10-27 09:26:42.130542
