Node,traceID,nodeID,node_pair,StartTime,Timestamp
0,145309cfc6db0061,145309cfc6db0061,"(0, 1)",1669540939000000,2022-11-27 09:22:19.000000
1,145309cfc6db0061,5a4c2c344f17ae9b,"(1, 1)",1669540939000198,2022-11-27 09:22:19.000198
2,145309cfc6db0061,72c328da7b139d5d,"(1, 2)",1669540939000265,2022-11-27 09:22:19.000265
4,19cd819d0568141f,19cd819d0568141f,"(0, 3)",1669540939003000,2022-11-27 09:22:19.003000
5,19cd819d0568141f,1891269a31247b78,"(3, 3)",1669540939003182,2022-11-27 09:22:19.003182
6,19cd819d0568141f,a83ed872b2a98f4e,"(3, 4)",1669540939003235,2022-11-27 09:22:19.003235
7,19cd819d0568141f,6c2a4816041f3e62,"(4, 5)",1669540939003769,2022-11-27 09:22:19.003769
8,19cd819d0568141f,2779a53d7c8100f2,"(5, 6)",1669540939003779,2022-11-27 09:22:19.003779
9,19cd819d0568141f,cf6facff3fdc055a,"(5, 7)",1669540939004690,2022-11-27 09:22:19.004690
10,19cd819d0568141f,f12606b8e678bb2f,"(7, 8)",1669540939004920,2022-11-27 09:22:19.004920
3,145309cfc6db0061,b159fde6d4f1f91,"(2, 9)",1669540939006059,2022-11-27 09:22:19.006059
11,145309cfc6db0061,6c2b5fa60b0c4192,"(9, 10)",1669540939006069,2022-11-27 09:22:19.006069
12,145309cfc6db0061,f6d7f532cfe70ae0,"(9, 7)",1669540939009014,2022-11-27 09:22:19.009014
13,145309cfc6db0061,f12606b8e678bb2f,"(7, 8)",1669540939009160,2022-11-27 09:22:19.009160
14,145309cfc6db0061,c3d3a45f1803b472,"(7, 11)",1669540939009365,2022-11-27 09:22:19.009365
15,145309cfc6db0061,b71d652a09a3b99a,"(7, 12)",1669540939011409,2022-11-27 09:22:19.011409
16,1734356e087f71f4,1734356e087f71f4,"(0, 13)",1669540939160000,2022-11-27 09:22:19.160000
17,1734356e087f71f4,23ceaa51c11f8d10,"(13, 13)",1669540939160483,2022-11-27 09:22:19.160483
18,1734356e087f71f4,ae34189aa4dd73b7,"(13, 14)",1669540939160626,2022-11-27 09:22:19.160626
19,1734356e087f71f4,20296fd4a20fbdef,"(14, 15)",1669540939160791,2022-11-27 09:22:19.160791
20,1734356e087f71f4,5b2a983034edf793,"(15, 16)",1669540939160799,2022-11-27 09:22:19.160799
21,1734356e087f71f4,e4897539c91e08a3,"(15, 17)",1669540939160978,2022-11-27 09:22:19.160978
22,1e6f76df6ff05af9,19cd819d0568141f,"(0, 3)",1669540939242000,2022-11-27 09:22:19.242000
23,1e6f76df6ff05af9,1891269a31247b78,"(3, 3)",1669540939242916,2022-11-27 09:22:19.242916
24,1e6f76df6ff05af9,a83ed872b2a98f4e,"(3, 4)",1669540939242992,2022-11-27 09:22:19.242992
25,1e6f76df6ff05af9,6c2a4816041f3e62,"(4, 5)",1669540939243579,2022-11-27 09:22:19.243579
26,1e6f76df6ff05af9,2779a53d7c8100f2,"(5, 6)",1669540939243587,2022-11-27 09:22:19.243587
27,1e6f76df6ff05af9,cf6facff3fdc055a,"(5, 7)",1669540939244259,2022-11-27 09:22:19.244259
28,1e6f76df6ff05af9,f12606b8e678bb2f,"(7, 8)",1669540939244321,2022-11-27 09:22:19.244321
29,1e6f76df6ff05af9,c3d3a45f1803b472,"(7, 11)",1669540939244985,2022-11-27 09:22:19.244985
30,1e6f76df6ff05af9,b71d652a09a3b99a,"(7, 12)",1669540939245806,2022-11-27 09:22:19.245806
31,dbef5a85b1a0f7c,dbef5a85b1a0f7c,"(0, 18)",1669540939677000,2022-11-27 09:22:19.677000
32,dbef5a85b1a0f7c,b1e505c3b0950fc,"(18, 18)",1669540939677911,2022-11-27 09:22:19.677911
33,dbef5a85b1a0f7c,c0d3103705f8196,"(18, 19)",1669540939678007,2022-11-27 09:22:19.678007
34,dbef5a85b1a0f7c,ee80b2836f7d8427,"(19, 20)",1669540939678194,2022-11-27 09:22:19.678194
35,dbef5a85b1a0f7c,1e8e1e0938c1c4ac,"(20, 21)",1669540939678297,2022-11-27 09:22:19.678297
36,dbef5a85b1a0f7c,14d54c0b84890fe7,"(20, 22)",1669540939678355,2022-11-27 09:22:19.678355
37,dbef5a85b1a0f7c,d1264e5e9e530e4f,"(20, 23)",1669540939678399,2022-11-27 09:22:19.678399
43,dbef5a85b1a0f7c,5f50bb91d32803fd,"(22, 24)",1669540939678473,2022-11-27 09:22:19.678473
42,dbef5a85b1a0f7c,249e1d93a589d8bf,"(21, 25)",1669540939678493,2022-11-27 09:22:19.678493
38,dbef5a85b1a0f7c,9a0b81a25abfa0f1,"(20, 26)",1669540939678614,2022-11-27 09:22:19.678614
44,dbef5a85b1a0f7c,3e5ec9d0e6cbfb3,"(23, 27)",1669540939678623,2022-11-27 09:22:19.678623
45,dbef5a85b1a0f7c,b298f36ee2e9c57b,"(26, 28)",1669540939678698,2022-11-27 09:22:19.678698
46,dbef5a85b1a0f7c,c12589d46efcdb70,"(27, 29)",1669540939678873,2022-11-27 09:22:19.678873
47,dbef5a85b1a0f7c,c5331ef0c70cfc45,"(27, 30)",1669540939678883,2022-11-27 09:22:19.678883
48,dbef5a85b1a0f7c,cef12523d7c167b7,"(29, 31)",1669540939678965,2022-11-27 09:22:19.678965
50,dbef5a85b1a0f7c,2cffcffaa43aeb11,"(31, 32)",1669540939679026,2022-11-27 09:22:19.679026
49,dbef5a85b1a0f7c,483328b17db5d017,"(30, 33)",1669540939679047,2022-11-27 09:22:19.679047
51,dbef5a85b1a0f7c,3e80d6c13763ee61,"(33, 34)",1669540939679060,2022-11-27 09:22:19.679060
52,dbef5a85b1a0f7c,a7a02aa6a2d88870,"(33, 35)",1669540939679666,2022-11-27 09:22:19.679666
39,dbef5a85b1a0f7c,5055e483e5e82065,"(20, 36)",1669540939681534,2022-11-27 09:22:19.681534
53,dbef5a85b1a0f7c,2f51cce22546682d,"(36, 37)",1669540939681838,2022-11-27 09:22:19.681838
54,dbef5a85b1a0f7c,f1abe000b076587,"(37, 38)",1669540939681858,2022-11-27 09:22:19.681858
40,dbef5a85b1a0f7c,c05a27aff4531266,"(20, 39)",1669540939682617,2022-11-27 09:22:19.682617
55,dbef5a85b1a0f7c,5ca6648289d87072,"(39, 40)",1669540939682715,2022-11-27 09:22:19.682715
56,dbef5a85b1a0f7c,600ceb93ad069d17,"(40, 41)",1669540939682734,2022-11-27 09:22:19.682734
57,dbef5a85b1a0f7c,89fbf0addf439bdb,"(40, 42)",1669540939683287,2022-11-27 09:22:19.683287
41,dbef5a85b1a0f7c,36fc27b087544830,"(20, 43)",1669540939683562,2022-11-27 09:22:19.683562
58,dbef5a85b1a0f7c,25e0085449c77b9d,"(43, 44)",1669540939683648,2022-11-27 09:22:19.683648
59,dbef5a85b1a0f7c,70a6422170921903,"(44, 45)",1669540939683652,2022-11-27 09:22:19.683652
61,dbef5a85b1a0f7c,5c37ec1b4412154a,"(45, 46)",1669540939683723,2022-11-27 09:22:19.683723
62,dbef5a85b1a0f7c,4b8990938c97ba8a,"(46, 47)",1669540939683731,2022-11-27 09:22:19.683731
60,dbef5a85b1a0f7c,86504414bcf4f06c,"(44, 48)",1669540939684056,2022-11-27 09:22:19.684056
63,114dfe1982419604,19cd819d0568141f,"(0, 3)",1669540939685000,2022-11-27 09:22:19.685000
64,114dfe1982419604,1891269a31247b78,"(3, 3)",1669540939690792,2022-11-27 09:22:19.690792
65,114dfe1982419604,a83ed872b2a98f4e,"(3, 4)",1669540939690843,2022-11-27 09:22:19.690843
66,114dfe1982419604,6c2a4816041f3e62,"(4, 5)",1669540939691003,2022-11-27 09:22:19.691003
67,114dfe1982419604,2779a53d7c8100f2,"(5, 6)",1669540939691012,2022-11-27 09:22:19.691012
68,114dfe1982419604,cf6facff3fdc055a,"(5, 7)",1669540939693279,2022-11-27 09:22:19.693279
69,114dfe1982419604,f12606b8e678bb2f,"(7, 8)",1669540939693428,2022-11-27 09:22:19.693428
70,32e65a481e7bac29,145309cfc6db0061,"(0, 1)",1669540939825000,2022-11-27 09:22:19.825000
71,32e65a481e7bac29,5a4c2c344f17ae9b,"(1, 1)",1669540939825903,2022-11-27 09:22:19.825903
72,32e65a481e7bac29,72c328da7b139d5d,"(1, 2)",1669540939825961,2022-11-27 09:22:19.825961
73,32e65a481e7bac29,b159fde6d4f1f91,"(2, 9)",1669540939826143,2022-11-27 09:22:19.826143
74,32e65a481e7bac29,6c2b5fa60b0c4192,"(9, 10)",1669540939826150,2022-11-27 09:22:19.826150
75,32e65a481e7bac29,1eef6348210ede22,"(9, 49)",1669540939826303,2022-11-27 09:22:19.826303
76,32e65a481e7bac29,cc38e2702498002,"(9, 50)",1669540939827285,2022-11-27 09:22:19.827285
77,32e65a481e7bac29,f6d7f532cfe70ae0,"(9, 7)",1669540939827752,2022-11-27 09:22:19.827752
78,32e65a481e7bac29,f12606b8e678bb2f,"(7, 8)",1669540939827870,2022-11-27 09:22:19.827870
79,32e65a481e7bac29,c3d3a45f1803b472,"(7, 11)",1669540939828030,2022-11-27 09:22:19.828030
80,32e65a481e7bac29,b71d652a09a3b99a,"(7, 12)",1669540939829610,2022-11-27 09:22:19.829610
81,2b96eec775ef1d62,145309cfc6db0061,"(0, 1)",1669540939830000,2022-11-27 09:22:19.830000
82,2b96eec775ef1d62,5a4c2c344f17ae9b,"(1, 1)",1669540939833166,2022-11-27 09:22:19.833166
83,2b96eec775ef1d62,72c328da7b139d5d,"(1, 2)",1669540939833587,2022-11-27 09:22:19.833587
84,2b96eec775ef1d62,b159fde6d4f1f91,"(2, 9)",1669540939833789,2022-11-27 09:22:19.833789
85,2b96eec775ef1d62,6c2b5fa60b0c4192,"(9, 10)",1669540939833797,2022-11-27 09:22:19.833797
86,2b96eec775ef1d62,1eef6348210ede22,"(9, 49)",1669540939833940,2022-11-27 09:22:19.833940
87,2b96eec775ef1d62,cc38e2702498002,"(9, 50)",1669540939834729,2022-11-27 09:22:19.834729
