trace,source,destination,rpcCall,rpcNumber,rpcStartTime,rpcTimestamp
145309cfc6db0061,,145309cfc6db0061,nginx-web-server+/wrk2-api/user-timeline/read,1,1669540939000000,2022-11-27 09:22:19.000000
145309cfc6db0061,145309cfc6db0061,e19f1f687e53eeb2,nginx-web-server+/wrk2-api/user-timeline/read,1,1669540939000198,2022-11-27 09:22:19.000198
145309cfc6db0061,e19f1f687e53eeb2,72c328da7b139d5d,nginx-web-server+ReadUserTimeline,2,1669540939000265,2022-11-27 09:22:19.000265
19cd819d0568141f,,19cd819d0568141f,nginx-web-server+/wrk2-api/home-timeline/read,3,1669540939003000,2022-11-27 09:22:19.003000
19cd819d0568141f,19cd819d0568141f,4b3e849d853c1499,nginx-web-server+/wrk2-api/home-timeline/read,3,1669540939003182,2022-11-27 09:22:19.003182
19cd819d0568141f,4b3e849d853c1499,a83ed872b2a98f4e,nginx-web-server+read_home_timeline_client,4,1669540939003235,2022-11-27 09:22:19.003235
19cd819d0568141f,a83ed872b2a98f4e,6c2a4816041f3e62,home-timeline-service+read_home_timeline_server,5,1669540939003769,2022-11-27 09:22:19.003769
19cd819d0568141f,6c2a4816041f3e62,2779a53d7c8100f2,home-timeline-service+read_home_timeline_redis_find_client,6,1669540939003779,2022-11-27 09:22:19.003779
19cd819d0568141f,6c2a4816041f3e62,cf6facff3fdc055a,post-storage-service+post_storage_read_posts_server,7,1669540939004690,2022-11-27 09:22:19.004690
19cd819d0568141f,cf6facff3fdc055a,f12606b8e678bb2f,post-storage-service+post_storage_mmc_mget_client,8,1669540939004920,2022-11-27 09:22:19.004920
145309cfc6db0061,72c328da7b139d5d,b159fde6d4f1f91,user-timeline-service+read_user_timeline_server,9,1669540939006059,2022-11-27 09:22:19.006059
145309cfc6db0061,b159fde6d4f1f91,6c2b5fa60b0c4192,user-timeline-service+read_user_timeline_redis_find_client,10,1669540939006069,2022-11-27 09:22:19.006069
145309cfc6db0061,b159fde6d4f1f91,f6d7f532cfe70ae0,post-storage-service+post_storage_read_posts_server,7,1669540939009014,2022-11-27 09:22:19.009014
145309cfc6db0061,f6d7f532cfe70ae0,86cda8c314629c2f,post-storage-service+post_storage_mmc_mget_client,8,1669540939009160,2022-11-27 09:22:19.009160
145309cfc6db0061,f6d7f532cfe70ae0,c3d3a45f1803b472,post-storage-service+mongo_find_client,11,1669540939009365,2022-11-27 09:22:19.009365
145309cfc6db0061,f6d7f532cfe70ae0,b71d652a09a3b99a,post-storage-service+mmc_set_client,12,1669540939011409,2022-11-27 09:22:19.011409
1734356e087f71f4,,1734356e087f71f4,nginx-web-server+/api/user/login,13,1669540939160000,2022-11-27 09:22:19.160000
1734356e087f71f4,1734356e087f71f4,c012ad379b6f74ec,nginx-web-server+/api/user/login,13,1669540939160483,2022-11-27 09:22:19.160483
1734356e087f71f4,c012ad379b6f74ec,ae34189aa4dd73b7,nginx-web-server+Login,14,1669540939160626,2022-11-27 09:22:19.160626
1734356e087f71f4,ae34189aa4dd73b7,20296fd4a20fbdef,user-service+login_server,15,1669540939160791,2022-11-27 09:22:19.160791
1734356e087f71f4,20296fd4a20fbdef,5b2a983034edf793,user-service+user_mmc_get_client,16,1669540939160799,2022-11-27 09:22:19.160799
1734356e087f71f4,20296fd4a20fbdef,e4897539c91e08a3,user-service+user_mongo_find_client,17,1669540939160978,2022-11-27 09:22:19.160978
1e6f76df6ff05af9,,1e6f76df6ff05af9,nginx-web-server+/wrk2-api/home-timeline/read,3,1669540939242000,2022-11-27 09:22:19.242000
1e6f76df6ff05af9,1e6f76df6ff05af9,1891269a31247b78,nginx-web-server+/wrk2-api/home-timeline/read,3,1669540939242916,2022-11-27 09:22:19.242916
1e6f76df6ff05af9,1891269a31247b78,b02acba10cd94c29,nginx-web-server+read_home_timeline_client,4,1669540939242992,2022-11-27 09:22:19.242992
1e6f76df6ff05af9,b02acba10cd94c29,3de0683612fa24cb,home-timeline-service+read_home_timeline_server,5,1669540939243579,2022-11-27 09:22:19.243579
1e6f76df6ff05af9,3de0683612fa24cb,7111e19b825b2cc1,home-timeline-service+read_home_timeline_redis_find_client,6,1669540939243587,2022-11-27 09:22:19.243587
1e6f76df6ff05af9,3de0683612fa24cb,8c843564db481bf3,post-storage-service+post_storage_read_posts_server,7,1669540939244259,2022-11-27 09:22:19.244259
1e6f76df6ff05af9,8c843564db481bf3,dec46b976fe63e23,post-storage-service+post_storage_mmc_mget_client,8,1669540939244321,2022-11-27 09:22:19.244321
1e6f76df6ff05af9,8c843564db481bf3,4f59e101f5bff53f,post-storage-service+mongo_find_client,11,1669540939244985,2022-11-27 09:22:19.244985
1e6f76df6ff05af9,8c843564db481bf3,8772f6a0d46cfd91,post-storage-service+mmc_set_client,12,1669540939245806,2022-11-27 09:22:19.245806
dbef5a85b1a0f7c,,dbef5a85b1a0f7c,nginx-web-server+/wrk2-api/post/compose,18,1669540939677000,2022-11-27 09:22:19.677000
dbef5a85b1a0f7c,dbef5a85b1a0f7c,eabe8c03e2ea2cdf,nginx-web-server+/wrk2-api/post/compose,18,1669540939677911,2022-11-27 09:22:19.677911
dbef5a85b1a0f7c,eabe8c03e2ea2cdf,c0d3103705f8196,nginx-web-server+compose_post_client,19,1669540939678007,2022-11-27 09:22:19.678007
dbef5a85b1a0f7c,c0d3103705f8196,ee80b2836f7d8427,compose-post-service+compose_post_server,20,1669540939678194,2022-11-27 09:22:19.678194
dbef5a85b1a0f7c,ee80b2836f7d8427,1e8e1e0938c1c4ac,compose-post-service+compose_unique_id_client,21,1669540939678297,2022-11-27 09:22:19.678297
dbef5a85b1a0f7c,ee80b2836f7d8427,14d54c0b84890fe7,compose-post-service+compose_creator_client,22,1669540939678355,2022-11-27 09:22:19.678355
dbef5a85b1a0f7c,ee80b2836f7d8427,d1264e5e9e530e4f,compose-post-service+compose_text_client,23,1669540939678399,2022-11-27 09:22:19.678399
dbef5a85b1a0f7c,14d54c0b84890fe7,5f50bb91d32803fd,user-service+compose_creator_server,24,1669540939678473,2022-11-27 09:22:19.678473
dbef5a85b1a0f7c,1e8e1e0938c1c4ac,249e1d93a589d8bf,unique-id-service+compose_unique_id_server,25,1669540939678493,2022-11-27 09:22:19.678493
dbef5a85b1a0f7c,ee80b2836f7d8427,9a0b81a25abfa0f1,compose-post-service+compose_media_client,26,1669540939678614,2022-11-27 09:22:19.678614
dbef5a85b1a0f7c,d1264e5e9e530e4f,3e5ec9d0e6cbfb3,text-service+compose_text_server,27,1669540939678623,2022-11-27 09:22:19.678623
dbef5a85b1a0f7c,9a0b81a25abfa0f1,b298f36ee2e9c57b,media-service+compose_media_server,28,1669540939678698,2022-11-27 09:22:19.678698
dbef5a85b1a0f7c,3e5ec9d0e6cbfb3,c12589d46efcdb70,text-service+compose_urls_client,29,1669540939678873,2022-11-27 09:22:19.678873
dbef5a85b1a0f7c,3e5ec9d0e6cbfb3,c5331ef0c70cfc45,text-service+compose_user_mentions_client,30,1669540939678883,2022-11-27 09:22:19.678883
dbef5a85b1a0f7c,c12589d46efcdb70,cef12523d7c167b7,url-shorten-service+compose_urls_server,31,1669540939678965,2022-11-27 09:22:19.678965
dbef5a85b1a0f7c,cef12523d7c167b7,2cffcffaa43aeb11,url-shorten-service+url_mongo_insert_client,32,1669540939679026,2022-11-27 09:22:19.679026
dbef5a85b1a0f7c,c5331ef0c70cfc45,483328b17db5d017,user-mention-service+compose_user_mentions_server,33,1669540939679047,2022-11-27 09:22:19.679047
dbef5a85b1a0f7c,483328b17db5d017,3e80d6c13763ee61,user-mention-service+compose_user_mentions_memcached_get_client,34,1669540939679060,2022-11-27 09:22:19.679060
