traceID,spanID,process.serviceName,operationName,startTimeMillis,startTime,tags,references,tags.0.type,tags.0.key,tags.0.value,tags.1.type,tags.1.key,tags.1.value,tags.2.type,tags.2.key,tags.2.value,tags.3.type,tags.3.key,tags.3.value,tags.4.type,tags.4.key,tags.4.value,tags.5.type,tags.5.key,tags.5.value,tags.6.type,tags.6.key,tags.6.value,tags.7.type,tags.7.key,tags.7.value,tags.8.type,tags.8.key,tags.8.value,tags.9.type,tags.9.key,tags.9.value,references.0.refType,references.0.spanID,references.0.traceID,tags.10.type,tags.10.key,tags.10.value
2dbd689ba005b92c,2dbd689ba005b92c,nginx-web-server,/wrk2-api/user/register,1669531459252,1669531459252000,,,string,sampler.type,probabilistic,float64,sampler.param,0.2,int64,http.status_code,200,string,http.status_line,,string,component,nginx,string,nginx.worker_pid,9,string,peer.address,172.18.0.1:35310,string,http.method,POST,string,http.url,http://localhost:8080/wrk2-api/user/register,string,http.host,localhost:8080,,,,,,
2dbd689ba005b92c,3cacf35b6efbb56f,nginx-web-server,/wrk2-api/user/register,1669531459253,1669531459253042,,,string,component,nginx,string,nginx.worker_pid,9,string,peer.address,172.18.0.1:35310,string,http.method,POST,string,http.url,http://localhost:8080/wrk2-api/user/register,string,http.host,localhost:8080,int64,http.status_code,200,string,http.status_line,,,,,,,,CHILD_OF,2dbd689ba005b92c,2dbd689ba005b92c,,,
2dbd689ba005b92c,9c8e4a33ce44ef7c,nginx-web-server,register_client,1669531459253,1669531459253192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHILD_OF,3cacf35b6efbb56f,2dbd689ba005b92c,,,
2dbd689ba005b92c,15ced0169ec2d4fc,user-service,register_user_withid_server,1669531459253,1669531459253841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHILD_OF,9c8e4a33ce44ef7c,2dbd689ba005b92c,,,
1eda4b436d89607d,1eda4b436d89607d,nginx-web-server,/wrk2-api/user-timeline/read,1669531459376,1669531459376000,,,string,sampler.type,probabilistic,float64,sampler.param,0.2,int64,http.status_code,200,string,http.status_line,,string,component,nginx,string,nginx.worker_pid,10,string,peer.address,172.18.0.1:35158,string,http.method,GET,string,http.url,http://localhost:8080/wrk2-api/user-timeline/read?user_id=326&start=79&stop=89,string,http.host,localhost:8080,,,,,,
1eda4b436d89607d,5eeee79fea5ec49b,nginx-web-server,/wrk2-api/user-timeline/read,1669531459376,1669531459376392,,,string,component,nginx,string,nginx.worker_pid,10,string,peer.address,172.18.0.1:35158,string,http.method,GET,string,http.url,http://localhost:8080/wrk2-api/user-timeline/read?user_id=326&start=79&stop=89,string,http.host,localhost:8080,int64,http.status_code,200,string,http.status_line,,,,,,,,CHILD_OF,1eda4b436d89607d,1eda4b436d89607d,,,
1eda4b436d89607d,84446db871ee7541,nginx-web-server,ReadUserTimeline,1669531459378,1669531459378512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHILD_OF,5eeee79fea5ec49b,1eda4b436d89607d,,,
1eda4b436d89607d,f54145d213acd3c,user-timeline-service,read_user_timeline_server,1669531459384,1669531459384652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHILD_OF,84446db871ee7541,1eda4b436d89607d,,,
1eda4b436d89607d,b4596e61f1b0b1ca,user-timeline-service,read_user_timeline_redis_find_client,1669531459384,1669531459384661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHILD_OF,f54145d213acd3c,1eda4b436d89607d,,,
1eda4b436d89607d,ab5f439d83780351,post-storage-service,post_storage_read_posts_server,1669531459385,1669531459385639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHILD_OF,f54145d213acd3c,1eda4b436d89607d,,,
1eda4b436d89607d,797f7773fa2a2439,post-storage-service,post_storage_mmc_mget_client,1669531459385,1669531459385707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHILD_OF,ab5f439d83780351,1eda4b436d89607d,,,
1eda4b436d89607d,f3508e565abd36ea,post-storage-service,mongo_find_client,1669531459385,1669531459385899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHILD_OF,ab5f439d83780351,1eda4b436d89607d,,,
1eda4b436d89607d,224aab835ad2f32b,post-storage-service,mmc_set_client,1669531459389,1669531459389164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHILD_OF,ab5f439d83780351,1eda4b436d89607d,,,
f61ca3cd2ce7086,f61ca3cd2ce7086,nginx-web-server,/wrk2-api/post/compose,1669531459505,1669531459505000,,,string,sampler.type,probabilistic,float64,sampler.param,0.2,int64,http.status_code,200,string,http.status_line,,string,component,nginx,string,nginx.worker_pid,10,string,peer.address,172.18.0.1:35068,string,http.method,POST,string,http.url,http://localhost:8080/wrk2-api/post/compose,string,http.host,localhost:8080,,,,,,
f61ca3cd2ce7086,634a568b5d6bd8cd,nginx-web-server,/wrk2-api/post/compose,1669531459505,1669531459505490,,,string,component,nginx,string,nginx.worker_pid,10,string,peer.address,172.18.0.1:35068,string,http.method,POST,string,http.url,http://localhost:8080/wrk2-api/post/compose,string,http.host,localhost:8080,int64,http.status_code,200,string,http.status_line,,,,,,,,CHILD_OF,f61ca3cd2ce7086,f61ca3cd2ce7086,,,
f61ca3cd2ce7086,1e0c3e7ca4eb08a9,nginx-web-server,compose_post_client,1669531459505,1669531459505570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHILD_OF,634a568b5d6bd8cd,f61ca3cd2ce7086,,,
f61ca3cd2ce7086,1400bceb8190d5fa,compose-post-service,compose_post_server,1669531459505,1669531459505777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHILD_OF,1e0c3e7ca4eb08a9,f61ca3cd2ce7086,,,
f61ca3cd2ce7086,24ad368cdc2df60f,compose-post-service,compose_text_client,1669531459505,1669531459505867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHILD_OF,1400bceb8190d5fa,f61ca3cd2ce7086,,,
f61ca3cd2ce7086,e519b7c541401cca,compose-post-service,compose_creator_client,1669531459505,1669531459505924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHILD_OF,1400bceb8190d5fa,f61ca3cd2ce7086,,,
f61ca3cd2ce7086,b6bd017d67328e5,compose-post-service,compose_media_client,1669531459505,1669531459505952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHILD_OF,1400bceb8190d5fa,f61ca3cd2ce7086,,,
f61ca3cd2ce7086,6687f4179420e13e,compose-post-service,compose_unique_id_client,1669531459506,1669531459506009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHILD_OF,1400bceb8190d5fa,f61ca3cd2ce7086,,,
f61ca3cd2ce7086,31fa33593383f8b8,user-service,compose_creator_server,1669531459506,1669531459506034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHILD_OF,e519b7c541401cca,f61ca3cd2ce7086,,,
f61ca3cd2ce7086,80fdc303c1856bb1,text-service,compose_text_server,1669531459506,1669531459506103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHILD_OF,24ad368cdc2df60f,f61ca3cd2ce7086,,,
f61ca3cd2ce7086,df91b278b307c0a6,media-service,compose_media_server,1669531459506,1669531459506181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHILD_OF,b6bd017d67328e5,f61ca3cd2ce7086,,,
f61ca3cd2ce7086,868d2bdeacf83825,text-service,compose_user_mentions_client,1669531459506,1669531459506397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHILD_OF,80fdc303c1856bb1,f61ca3cd2ce7086,,,
f61ca3cd2ce7086,d7d18e0ae21b253a,unique-id-service,compose_unique_id_server,1669531459506,1669531459506420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHILD_OF,6687f4179420e13e,f61ca3cd2ce7086,,,
f61ca3cd2ce7086,25e8ebd42a9dd3de,text-service,compose_urls_client,1669531459506,1669531459506542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHILD_OF,80fdc303c1856bb1,f61ca3cd2ce7086,,,
f61ca3cd2ce7086,17d0d3651377dcba,user-mention-service,compose_user_mentions_server,1669531459506,1669531459506676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHILD_OF,868d2bdeacf83825,f61ca3cd2ce7086,,,
f61ca3cd2ce7086,ac5d2e6955a5860b,user-mention-service,compose_user_mentions_memcached_get_client,1669531459506,1669531459506690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHILD_OF,17d0d3651377dcba,f61ca3cd2ce7086,,,
f61ca3cd2ce7086,3732fa7d1e6acc0e,url-shorten-service,compose_urls_server,1669531459506,1669531459506929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHILD_OF,25e8ebd42a9dd3de,f61ca3cd2ce7086,,,
f61ca3cd2ce7086,7909c5e9e884e667,url-shorten-service,url_mongo_insert_client,1669531459507,1669531459507014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHILD_OF,3732fa7d1e6acc0e,f61ca3cd2ce7086,,,
