node_ID,145309cfc6db0061,72c328da7b139d5d,b159fde6d4f1f91,19cd819d0568141f,a83ed872b2a98f4e,6c2a4816041f3e62,2779a53d7c8100f2,cf6facff3fdc055a,f12606b8e678bb2f,6c2b5fa60b0c4192,f6d7f532cfe70ae0,c3d3a45f1803b472,b71d652a09a3b99a,1734356e087f71f4,ae34189aa4dd73b7,20296fd4a20fbdef,5b2a983034edf793,e4897539c91e08a3,1891269a31247b78,dbef5a85b1a0f7c,c0d3103705f8196,ee80b2836f7d8427,1e8e1e0938c1c4ac,14d54c0b84890fe7,d1264e5e9e530e4f,9a0b81a25abfa0f1,5055e483e5e82065,c05a27aff4531266,36fc27b087544830,249e1d93a589d8bf,5f50bb91d32803fd,3e5ec9d0e6cbfb3,b298f36ee2e9c57b,c12589d46efcdb70,c5331ef0c70cfc45,cef12523d7c167b7,483328b17db5d017,2cffcffaa43aeb11,3e80d6c13763ee61,a7a02aa6a2d88870,2f51cce22546682d,f1abe000b076587,5ca6648289d87072,600ceb93ad069d17,89fbf0addf439bdb,25e0085449c77b9d,70a6422170921903,86504414bcf4f06c,5c37ec1b4412154a,4b8990938c97ba8a,5a4c2c344f17ae9b,1eef6348210ede22,cc38e2702498002,b1e505c3b0950fc,42beb55bf9e2cfa,d0dacccabed02ffa,7b050010b243913f,23ceaa51c11f8d10,89caf33fb778def2
2022-11-27 09:22:19.373632,1,1,1,2,2,2,2,2,3,1,1,2,2,1,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2022-11-27 09:22:19.975584,2,2,2,1,1,1,1,1,2,2,2,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,0,0,0,0,0
2022-11-27 09:22:20.577536,2,2,2,0,0,0,0,0,2,2,2,2,2,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,0,0,0,0,0
2022-11-27 09:22:21.179488,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-11-27 09:22:21.781440,1,1,1,2,2,2,2,2,3,1,1,2,2,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0,0,2,0,0,0,0,0
2022-11-27 09:22:22.383392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-11-27 09:22:22.985344,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0,0,2,0,0,0,0,0
2022-11-27 09:22:23.587296,1,1,1,2,2,2,2,2,2,1,1,1,1,0,0,0,0,0,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
2022-11-27 09:22:24.189248,3,3,3,2,2,2,2,2,4,3,3,3,3,0,0,0,0,0,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,3,0,0,0,0,0
2022-11-27 09:22:24.791200,3,3,3,1,1,1,1,1,2,3,3,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,2,1,0,0,0,0,0
2022-11-27 09:22:25.393152,0,0,0,4,4,4,4,4,4,0,0,2,2,0,0,0,0,0,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0
2022-11-27 09:22:25.995104,3,3,3,0,0,0,0,0,1,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,0,0,0,0,0,0
2022-11-27 09:22:26.597056,0,0,0,5,5,5,5,5,5,0,0,3,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-11-27 09:22:27.199008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0
2022-11-27 09:22:27.800960,2,2,2,2,2,2,2,2,4,2,2,3,3,0,0,0,0,0,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0,0,1,0,0,0,0,0
2022-11-27 09:22:28.402912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0
2022-11-27 09:22:29.004864,2,2,2,1,1,1,1,1,3,2,2,3,3,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,2,0,0,0,0,0
2022-11-27 09:22:29.606816,1,1,1,1,1,1,1,1,2,1,1,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2022-11-27 09:22:30.208768,1,1,1,2,2,2,2,2,3,1,1,3,3,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0,0,2,0,0,0,0,0
2022-11-27 09:22:30.810720,2,2,2,0,0,0,0,0,1,2,2,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,0,0,0,0,0
2022-11-27 09:22:31.412672,1,1,1,1,1,1,1,1,2,1,1,2,2,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0,0,2,0,0,0,0,0
2022-11-27 09:22:32.014624,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2022-11-27 09:22:32.616576,2,2,2,2,2,2,2,2,4,2,2,3,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
2022-11-27 09:22:33.218528,0,0,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0
2022-11-27 09:22:33.820480,1,1,1,1,1,1,1,1,2,1,1,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2022-11-27 09:22:34.422432,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2022-11-27 09:22:35.024384,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
2022-11-27 09:22:35.626336,2,2,2,0,0,0,0,0,2,2,2,2,2,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0,0,1,0,0,0,0,0
2022-11-27 09:22:36.228288,1,1,1,4,4,4,4,4,5,1,1,4,4,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,0,0,4,0,0,0,0,0
2022-11-27 09:22:36.830240,2,2,2,3,3,3,3,3,4,2,2,4,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0
2022-11-27 09:22:37.432192,1,1,1,4,4,4,4,4,5,1,1,4,4,0,0,0,0,0,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0,0,2,0,0,0,0,0
2022-11-27 09:22:38.034144,2,2,2,2,2,2,2,2,3,2,2,1,1,0,0,0,0,0,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,0,0,0,0,0
2022-11-27 09:22:38.636096,2,2,2,0,0,0,0,0,2,2,2,1,1,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,2,0,0,0,0,0
2022-11-27 09:22:39.238048,1,1,1,1,1,1,1,1,2,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0
2022-11-27 09:22:39.840000,3,3,3,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,2,0,0,0,0,0
2022-11-27 09:22:40.441952,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,0,0,0,0,0
