node_ID,31997733e8b2ec22,7886c008c689bf9,400c7388e746e775,e29f6d6905482228,d266b6381362b765,e308a14319560093,d22cabc940a3b662,25468396579277f6,b0ec1e8bb892a966,15629cf7f3e0d1a0,316b1607912447e8,b80cc1fb535d97d9,ca139036670cc34,7adee703d3e75754,3a09c47b7efba021,43cb4feef8774185,5411b5a0b80b109f,15d84f0999f66301,bc202a85e7c5afbd,8a6ab83cd8091a54,22d6b0ff61c8482,1074969c780e86f4,b2cdbc0defc256d6,4ab8fc160a64d6c1,231f9cf13d3ade34,69325e756783200a,42e8049214a68f2,3131ecd5e6ac0333,62624de8e9a294c0,9d89fa2ed8db05c1,78255323ca54ed62,f0693b8babe2b307,961024481bcefba0,632083763f02e83,f07cbacefabfd12c,129896f6d9469114,a71f8b9189c3ce89,f25301158471650f,3d2092300dc5a4cd,542bd90b62b0f6e9,8476de28b98ca321,27a31e31537147eb,1019804efa8f2317,d728e20aed4b7035,67d41741f77f9dad,623d05bf3b15bd77,31237a353533431d,4acf2206e8cb6cae,bb6854e2860a99ae,158ddca80547f66f,5ac6664d7986ae3b,d8d0a5e6b82aad51,c3872fa71268c51e,81a5841a0278d9b,788d7f2374126fc0,10420d06c7b485d6,4b06fff9d4ede317,39d6dc005b5d23c8,d7a90d770716e840,52351a03ee69602d,2c3b2ec00a115e48,aece4ec9afe22216
2022-11-29 04:24:57.316469,5,5,5,5,5,5,4,4,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-11-29 04:24:57.927178,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-11-29 04:24:58.537887,1,1,1,1,1,3,3,3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-11-29 04:24:59.148596,2,2,2,2,2,4,4,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-11-29 04:24:59.759305,1,1,1,1,1,3,3,3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-11-29 04:25:00.370014,4,4,4,4,4,8,5,5,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,1,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-11-29 04:25:00.980723,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-11-29 04:25:01.591432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-11-29 04:25:02.202141,0,0,0,0,0,3,3,3,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,1,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-11-29 04:25:02.812850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-11-29 04:25:03.423559,1,1,1,1,1,5,5,5,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-11-29 04:25:04.034268,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-11-29 04:25:04.644977,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-11-29 04:25:05.255686,1,1,1,1,1,3,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-11-29 04:25:05.866395,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-11-29 04:25:06.477104,2,2,2,2,2,4,4,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-11-29 04:25:07.087813,2,2,2,2,2,3,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
2022-11-29 04:25:07.698522,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-11-29 04:25:08.309231,2,2,2,2,2,3,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-11-29 04:25:08.919940,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-11-29 04:25:09.530649,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-11-29 04:25:10.141358,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
