traceID,spanID,process.serviceName,operationName,startTimeMillis,startTime,tags,references,tags.0.type,tags.0.key,tags.0.value,tags.1.type,tags.1.key,tags.1.value,tags.2.type,tags.2.key,tags.2.value,tags.3.type,tags.3.key,tags.3.value,tags.4.type,tags.4.key,tags.4.value,tags.5.type,tags.5.key,tags.5.value,tags.6.type,tags.6.key,tags.6.value,tags.7.type,tags.7.key,tags.7.value,tags.8.type,tags.8.key,tags.8.value,tags.9.type,tags.9.key,tags.9.value,references.0.refType,references.0.spanID,references.0.traceID,tags.10.type,tags.10.key,tags.10.value
323a2fd57a4e56a2,323a2fd57a4e56a2,nginx-web-server,/,1.66936E+12,1.66936E+15,,,string,sampler.type,probabilistic,float64,sampler.param,0.2,int64,http.status_code,200,string,http.status_line,,string,component,nginx,string,nginx.worker_pid,9,string,peer.address,47.152.128.35:52825,string,http.method,GET,string,http.url,http://18.212.223.207:8080/style/login.css,string,http.host,18.212.223.207:8080,,,,,,
323a2fd57a4e56a2,a9d8a913316b0f94,nginx-web-server,/,1.66936E+12,1.66936E+15,,,string,component,nginx,string,nginx.worker_pid,9,string,peer.address,47.152.128.35:52825,string,http.method,GET,string,http.url,http://18.212.223.207:8080/style/login.css,string,http.host,18.212.223.207:8080,int64,http.status_code,200,string,http.status_line,,,,,,,,CHILD_OF,323a2fd57a4e56a2,323a2fd57a4e56a2,,,
27032f561b0fef84,27032f561b0fef84,nginx-web-server,/,1.66936E+12,1.66936E+15,,,string,sampler.type,probabilistic,float64,sampler.param,0.2,int64,http.status_code,200,string,http.status_line,,string,component,nginx,string,nginx.worker_pid,10,string,peer.address,47.152.128.35:53091,string,http.method,GET,string,http.url,http://18.212.223.207:8080/style/signup.css,string,http.host,18.212.223.207:8080,,,,,,
27032f561b0fef84,60953737b72f6f23,nginx-web-server,/,1.66936E+12,1.66936E+15,,,string,component,nginx,string,nginx.worker_pid,10,string,peer.address,47.152.128.35:53091,string,http.method,GET,string,http.url,http://18.212.223.207:8080/style/signup.css,string,http.host,18.212.223.207:8080,int64,http.status_code,200,string,http.status_line,,,,,,,,CHILD_OF,27032f561b0fef84,27032f561b0fef84,,,
265b43531c12c39b,265b43531c12c39b,nginx-web-server,/,1.66936E+12,1.66936E+15,,,string,sampler.type,probabilistic,float64,sampler.param,0.2,int64,http.status_code,200,string,http.status_line,,string,component,nginx,string,nginx.worker_pid,10,string,peer.address,47.152.128.35:53091,string,http.method,GET,string,http.url,http://18.212.223.207:8080/index.html,string,http.host,18.212.223.207:8080,,,,,,
265b43531c12c39b,aa6306a8637a4fa8,nginx-web-server,/,1.66936E+12,1.66936E+15,,,string,component,nginx,string,nginx.worker_pid,10,string,peer.address,47.152.128.35:53091,string,http.method,GET,string,http.url,http://18.212.223.207:8080/index.html,string,http.host,18.212.223.207:8080,int64,http.status_code,200,string,http.status_line,,,,,,,,CHILD_OF,265b43531c12c39b,265b43531c12c39b,,,
2100b32f113f684,2100b32f113f684,nginx-web-server,/api/user/login,1.66936E+12,1.66936E+15,,,string,sampler.type,probabilistic,float64,sampler.param,0.2,int64,http.status_code,302,string,http.status_line,,string,component,nginx,string,nginx.worker_pid,10,string,peer.address,47.152.128.35:53091,string,http.method,POST,string,http.url,http://18.212.223.207:8080/api/user/login,string,http.host,18.212.223.207:8080,,,,,,
2100b32f113f684,2464fec13447797f,nginx-web-server,/api/user/login,1.66936E+12,1.66936E+15,,,string,component,nginx,string,nginx.worker_pid,10,string,peer.address,47.152.128.35:53091,string,http.method,POST,string,http.url,http://18.212.223.207:8080/api/user/login,string,http.host,18.212.223.207:8080,int64,http.status_code,302,string,http.status_line,,,,,,,,CHILD_OF,2100b32f113f684,2100b32f113f684,,,
2100b32f113f684,c34531c007d111a9,nginx-web-server,Login,1.66936E+12,1.66936E+15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHILD_OF,2464fec13447797f,2100b32f113f684,,,
2100b32f113f684,ef4185748d0f2156,user-service,login_server,1.66936E+12,1.66936E+15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHILD_OF,c34531c007d111a9,2100b32f113f684,,,
