traceID,spanID,process.serviceName,operationName,startTimeMillis,startTime,tags,references,tags.0.type,tags.0.key,tags.0.value,tags.1.type,tags.1.key,tags.1.value,tags.2.type,tags.2.key,tags.2.value,tags.3.type,tags.3.key,tags.3.value,tags.4.type,tags.4.key,tags.4.value,tags.5.type,tags.5.key,tags.5.value,tags.6.type,tags.6.key,tags.6.value,tags.7.type,tags.7.key,tags.7.value,tags.8.type,tags.8.key,tags.8.value,tags.9.type,tags.9.key,tags.9.value,references.0.refType,references.0.spanID,references.0.traceID,tags.10.type,tags.10.key,tags.10.value
125da6bcc86879d7,125da6bcc86879d7,nginx-web-server,/,1669667242839,1669667242839000,,,string,sampler.type,probabilistic,float64,sampler.param,0.2,int64,http.status_code,200,string,http.status_line,,string,component,nginx,string,nginx.worker_pid,9,string,peer.address,47.149.132.190:54704,string,http.method,GET,string,http.url,http://3.89.116.71:8080/index.html,string,http.host,3.89.116.71:8080,,,,,,
125da6bcc86879d7,bb21cf870fdeb175,nginx-web-server,/,1669667242839,1669667242839326,,,string,component,nginx,string,nginx.worker_pid,9,string,peer.address,47.149.132.190:54704,string,http.method,GET,string,http.url,http://3.89.116.71:8080/index.html,string,http.host,3.89.116.71:8080,int64,http.status_code,200,string,http.status_line,,,,,,,,CHILD_OF,125da6bcc86879d7,125da6bcc86879d7,,,
23c12c492444e179,23c12c492444e179,nginx-web-server,/wrk2-api/home-timeline/read,1669667515228,1669667515228000,,,string,sampler.type,probabilistic,float64,sampler.param,0.2,int64,http.status_code,200,string,http.status_line,,string,component,nginx,string,nginx.worker_pid,8,string,peer.address,172.18.0.1:54470,string,http.method,GET,string,http.url,http://localhost:8080/wrk2-api/home-timeline/read?user_id=667&start=28&stop=38,string,http.host,localhost:8080,,,,,,
23c12c492444e179,3be3a850652f9b2b,nginx-web-server,/wrk2-api/home-timeline/read,1669667515228,1669667515228490,,,string,component,nginx,string,nginx.worker_pid,8,string,peer.address,172.18.0.1:54470,string,http.method,GET,string,http.url,http://localhost:8080/wrk2-api/home-timeline/read?user_id=667&start=28&stop=38,string,http.host,localhost:8080,int64,http.status_code,200,string,http.status_line,,,,,,,,CHILD_OF,23c12c492444e179,23c12c492444e179,,,
23c12c492444e179,e48628eb7c7fdfd5,nginx-web-server,read_home_timeline_client,1669667515233,1669667515233523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHILD_OF,3be3a850652f9b2b,23c12c492444e179,,,
23c12c492444e179,7a9bb1b62ab2351b,home-timeline-service,read_home_timeline_server,1669667515241,1669667515241283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHILD_OF,e48628eb7c7fdfd5,23c12c492444e179,,,
23c12c492444e179,93f3c090f2b14c94,home-timeline-service,read_home_timeline_redis_find_client,1669667515241,1669667515241307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHILD_OF,7a9bb1b62ab2351b,23c12c492444e179,,,
23c12c492444e179,22d3f68828443db9,post-storage-service,post_storage_read_posts_server,1669667515245,1669667515245951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHILD_OF,7a9bb1b62ab2351b,23c12c492444e179,,,
23c12c492444e179,89e0f2415ab79f7d,post-storage-service,post_storage_mmc_mget_client,1669667515246,1669667515246126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHILD_OF,22d3f68828443db9,23c12c492444e179,,,
23c12c492444e179,2b9ac5910ce6ff79,post-storage-service,mongo_find_client,1669667515246,1669667515246905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHILD_OF,22d3f68828443db9,23c12c492444e179,,,
23c12c492444e179,6fcb5880322cd894,post-storage-service,mmc_set_client,1669667515267,1669667515267401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHILD_OF,22d3f68828443db9,23c12c492444e179,,,
176cc79570d71050,176cc79570d71050,nginx-web-server,/wrk2-api/user-timeline/read,1669667515303,1669667515303000,,,string,sampler.type,probabilistic,float64,sampler.param,0.2,int64,http.status_code,200,string,http.status_line,,string,component,nginx,string,nginx.worker_pid,9,string,peer.address,172.18.0.1:54380,string,http.method,GET,string,http.url,http://localhost:8080/wrk2-api/user-timeline/read?user_id=275&start=74&stop=84,string,http.host,localhost:8080,,,,,,
176cc79570d71050,3387dd370e48af21,nginx-web-server,/wrk2-api/user-timeline/read,1669667515303,1669667515303537,,,string,component,nginx,string,nginx.worker_pid,9,string,peer.address,172.18.0.1:54380,string,http.method,GET,string,http.url,http://localhost:8080/wrk2-api/user-timeline/read?user_id=275&start=74&stop=84,string,http.host,localhost:8080,int64,http.status_code,200,string,http.status_line,,,,,,,,CHILD_OF,176cc79570d71050,176cc79570d71050,,,
176cc79570d71050,3f12d5c467d9fced,nginx-web-server,ReadUserTimeline,1669667515303,1669667515303575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHILD_OF,3387dd370e48af21,176cc79570d71050,,,
176cc79570d71050,b15a71f33befd63b,user-timeline-service,read_user_timeline_server,1669667515303,1669667515303915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHILD_OF,3f12d5c467d9fced,176cc79570d71050,,,
176cc79570d71050,8f1bbbaaa00dcda7,user-timeline-service,read_user_timeline_redis_find_client,1669667515303,1669667515303925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHILD_OF,b15a71f33befd63b,176cc79570d71050,,,
176cc79570d71050,5460109826275e36,user-timeline-service,user_timeline_mongo_find_client,1669667515304,1669667515304315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHILD_OF,b15a71f33befd63b,176cc79570d71050,,,
176cc79570d71050,ee8b99c5b2258f80,user-timeline-service,user_timeline_redis_update_client,1669667515306,1669667515306565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHILD_OF,b15a71f33befd63b,176cc79570d71050,,,
